Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-19,23:30,44.1,26.5,49.6,0.0,N@13.1,19.6,0.0,0,44.5,43.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,23:45,43.8,26.3,49.8,0.0,N@12.7,19.2,0.0,0,44.4,43.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,24:00,43.7,26.3,50.0,0.0,N@14.7,21.0,0.0,0,44.4,43.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,00:15,43.4,26.4,50.7,0.0,N@12.9,20.0,0.0,0,44.3,43.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,00:30,43.0,26.1,51.0,0.0,NW@10.7,15.0,0.0,0,44.2,42.7,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,00:45,42.4,26.2,52.2,0.0,NW@10.0,16.0,0.0,0,44.2,42.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,01:00,42.6,25.9,51.4,0.0,NW@10.9,16.4,0.0,0,44.1,42.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,01:15,42.7,25.7,50.8,0.0,NW@11.1,17.5,0.0,0,44.0,42.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,01:30,42.4,25.5,50.9,0.0,NW@11.2,17.1,0.0,0,44.0,42.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,01:45,41.7,25.6,52.6,0.0,NW@10.1,18.5,0.0,0,43.9,41.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-20,02:00,40.5,25.7,55.1,0.0,NW@8.1,12.4,0.0,0,43.9,40.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
