Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2015-10-30,09:45,61.5,57.7,87.1,0.0,86,29.63,SE,6.0,16.0,0.12,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,10:00,62.3,57.5,84.2,0.0,94,29.63,SE,6.5,16.4,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,10:15,62.6,57.5,83.1,0.0,117,29.64,SE,6.3,15.0,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,10:30,62.7,57.2,82.1,0.0,113,29.65,SE,5.4,16.7,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,10:45,63.1,57.1,80.7,0.0,143,29.66,SE,6.4,17.1,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,11:00,63.2,57.2,80.5,0.0,151,29.68,SE,4.6,10.3,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,11:15,64.2,57.5,78.8,0.0,322,29.68,SE,4.6,11.0,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,11:30,65.8,57.8,75.4,0.0,446,29.68,SE,4.7,9.9,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,11:45,65.1,57.4,76.1,0.0,290,29.68,S,5.0,12.8,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,12:00,65.0,57.3,76.0,0.0,369,29.69,S,4.1,11.4,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,12:15,66.4,57.7,73.3,0.0,526,29.7,SE,4.9,12.1,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,12:30,66.1,57.4,73.6,0.0,431,29.7,SE,4.3,11.7,0.0,57.6,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,12:45,65.8,57.1,73.6,0.0,370,29.71,SE,4.4,12.1,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,13:00,65.4,56.7,73.5,0.0,274,29.71,SE,5.2,13.5,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,13:15,65.5,56.4,72.5,0.0,311,29.72,SE,4.6,12.1,0.0,57.7,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-30,13:30,65.5,56.6,72.7,0.0,227,29.72,SE,4.5,10.3,0.0,57.8,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
