Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2020-09-15,21:15,53.5,35.4,50.1,0.0,0,30.08,NE,4.1,4.9,0.0,69.6,68.2,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,21:30,52.9,34.8,50.1,0.0,0,30.08,NE,4.0,5.3,0.0,69.3,68.2,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,21:45,51.7,35.2,53.2,0.0,0,30.08,NE,4.0,5.7,0.0,69.0,68.2,4.2,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,22:00,54.2,36.0,50.0,0.0,0,30.08,NE,5.3,6.7,0.0,68.7,68.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,22:15,53.6,36.1,51.2,0.0,0,30.08,NE,5.0,5.7,0.0,68.4,68.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,22:30,52.7,35.7,52.2,0.0,0,30.08,NE,4.4,5.3,0.0,68.2,68.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,22:45,53.3,35.9,51.6,0.0,0,30.08,NE,5.2,6.0,0.0,67.9,68.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,23:00,52.2,35.6,52.9,0.0,0,30.08,NE,5.2,6.0,0.0,67.6,68.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,23:15,52.5,35.2,51.6,0.0,0,30.09,NE,4.2,4.9,0.0,67.4,68.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,23:30,52.5,35.1,51.4,0.0,0,30.09,NE,4.2,5.3,0.0,67.2,68.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,23:45,50.4,34.2,53.7,0.0,0,30.09,NE,5.0,5.7,0.0,66.9,68.0,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,24:00,51.4,34.4,52.0,0.0,0,30.08,NE,4.7,5.3,0.0,66.7,68.0,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,00:15,50.6,34.2,53.2,0.0,0,30.08,NE,4.3,5.7,0.0,66.5,67.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,00:30,50.4,35.1,55.6,0.0,0,30.08,NE,4.6,5.3,0.0,66.3,67.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,00:45,51.1,35.7,55.4,0.0,0,30.09,NE,2.7,4.6,0.0,66.1,67.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,01:00,52.3,36.3,54.4,0.0,0,30.09,NE,4.7,6.7,0.0,65.8,67.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,01:15,50.5,35.9,57.1,0.0,0,30.09,NE,2.0,5.7,0.0,65.6,67.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,01:30,50.7,36.2,57.2,0.0,0,30.09,NE,2.8,5.3,0.0,65.4,67.7,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,01:45,50.8,36.0,56.5,0.0,0,30.09,NE,4.9,5.7,0.0,65.2,67.7,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,02:00,49.4,35.8,59.1,0.0,0,30.09,NE,4.3,4.9,0.0,65.0,67.6,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,02:15,47.9,35.1,60.9,0.0,0,30.09,NE,4.3,4.9,0.0,64.8,67.6,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,02:30,47.4,35.5,63.1,0.0,0,30.09,NE,5.0,5.7,0.0,64.6,67.5,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,02:45,47.8,35.9,63.3,0.0,0,30.08,NE,4.9,5.3,0.0,64.5,67.5,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,03:00,46.8,35.3,64.0,0.0,0,30.08,NE,4.6,5.3,0.0,64.3,67.4,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,03:15,45.2,35.4,68.4,0.0,0,30.08,NE,4.7,5.3,0.0,64.1,67.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,03:30,47.0,36.8,67.5,0.0,0,30.09,NE,5.0,5.7,0.0,63.9,67.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,03:45,47.2,36.8,67.0,0.0,0,30.09,NE,4.0,5.3,0.0,63.8,67.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,04:00,46.8,36.9,68.1,0.0,0,30.09,NE,4.5,5.3,0.0,63.6,67.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,04:15,46.3,36.5,68.4,0.0,0,30.08,NE,4.9,5.7,0.0,63.4,67.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,04:30,46.5,37.2,69.8,0.0,0,30.08,NE,5.0,5.7,0.0,63.3,67.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,04:45,46.2,37.0,70.1,0.0,0,30.08,NE,4.7,6.0,0.0,63.1,67.0,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,05:00,45.3,36.9,72.2,0.0,0,30.08,NE,5.3,6.0,0.0,63.0,66.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,05:15,45.2,37.0,72.9,0.0,1,30.08,NE,4.9,6.0,0.0,62.8,66.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,05:30,46.2,37.7,72.0,0.0,2,30.08,NE,5.6,6.7,0.0,62.7,66.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,05:45,47.1,38.3,71.2,0.0,6,30.09,NE,5.0,6.0,0.0,62.5,66.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,06:00,46.8,38.1,71.5,0.0,18,30.09,NE,4.8,6.0,0.0,62.4,66.7,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-16,06:15,45.8,37.7,73.2,0.0,33,30.09,NE,4.5,5.3,0.0,62.3,66.6,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
