Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 Provisional,Download Timestamp
Australia,Oil products,Electricity plants (ktoe),01. Australia,03. Oil products,05. Electricity plants (ktoe),-376.469,-417.168,-431.413,-1158.914,-1111.092,-1144.669,-1182.316,-1317.641,-1351.218,-1151.792,-1119.231,-1221.997,-1081.585,-1053.095,-933.032,-807.882,-606.42,-478.218,-634.909,-946.259,-967.627,-676.626,-686.801,-695.958,-792.62,-748.868,-591.158,-594.21,-502.637,-525.021,-602.35,-569.791,-641.015,-791.602,-824.162,-882.158,-846.547,-1199.613,-852.426,-1349.689,-1289.782,-825.599,-1448.262,-1070.316,-1338.272,..,2018-04-07 11:40:33.896072
Australia,Oil products,CHP plants (ktoe),01. Australia,03. Oil products,06. CHP plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,-47.769,-43.948,-42.037,-27.706,-45.858,-36.305,-25.795,..,2018-04-07 11:40:33.896072
Australia,Oil products,Heat plants (ktoe),01. Australia,03. Oil products,07. Heat plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,Oil products,"Oil refineries, transformation (ktoe)",01. Australia,03. Oil products,"08. Oil refineries, transformation (ktoe)",22632.488,22226.101,26145.777,29721.064,29948.335,31165.821,31594.69,31436.926,31593.007,30263.769,29500.678,29972.034,28836.465,28951.686,28984.566,28148.013,28343.967,30284.1,31095.77,32060.559,32905.467,33309.645,34782.383,35383.116,36318.58,37740.933,38144.435,38624.795,37911.109,38256.91,36873.428,36676.223,36463.342,35699.95,34379.657,31692.132,32370.947,32839.677,32760.681,32172.253,33392.956,31698.679,31355.252,28631.387,25559.012,..,2018-04-07 11:40:33.896072
Australia,Oil products,Total final consumption (ktoe),01. Australia,03. Oil products,09. Total final consumption (ktoe),22387.759,22242.887,24264.245,24172.452,24352.525,24612.628,26039.094,26616.972,26988.715,26919.468,25931.544,25753.306,24220.732,25343.076,25490.902,25876.457,25994.325,27441.805,28456.626,28994.103,28229.249,28761.03,29542.579,30267.051,31394.6,32506.458,32943.348,33106.953,33586.257,34716.263,34366.285,33849.326,35327.704,36438.932,36537.752,37171.599,37814.257,38657.619,38157.528,38983.073,40619.891,41320.476,42646.69,42586.904,42558.197,..,2018-04-07 11:40:33.896072
Australia,Oil products,Industry (ktoe),01. Australia,03. Oil products,10. Industry (ktoe),6080.19,5668.845,5573.283,6340.312,5887.984,5777.128,6041.222,5768.148,5793.513,5379.249,4553.659,3962.298,3129.822,3226.794,2746.162,2527.763,2515.964,2728.339,2872.148,2885.746,2697.411,2683.961,2766.005,2866.872,2951.077,3152.541,3228.566,3234.37,3298.677,3547.566,3397.917,2800.626,3073.314,3013.578,3075.401,3170.132,3044.891,3434.336,3251.457,3155.964,3702.439,4242.966,4870.254,4466.127,4474.725,..,2018-04-07 11:40:33.896072
Australia,Oil products,Transport (ktoe),01. Australia,03. Oil products,11. Transport (ktoe),11185.777,11597.977,12853.511,13239.677,13774.725,14226.889,15137.124,15958.126,16348.894,16744.203,17027.964,17430.747,17229.385,17881.824,18402.601,18900.201,19197.27,19952.532,20569.433,20872.855,20313.409,20816.92,21178.11,21736.885,22634.599,23454.994,23890.587,23896.073,24346.102,25063.59,24793.09,25441.492,25485.125,26419.268,26280.84,26968.582,27650.996,28171.52,28022.786,29121.331,30039.55,30252.649,30775.757,30805.236,31532.039,..,2018-04-07 11:40:33.896072
Australia,Oil products,Other (ktoe),01. Australia,03. Oil products,12. Other (ktoe),2927.085,2777.737,3474.305,2461.687,2587.088,2551.189,2637.812,2527.816,2505.79,2228.733,1983.978,1976.125,1738.836,1796.009,1751.455,1697.012,1736.773,1681.126,1746.059,1730.589,1733.921,1783.77,1858.656,1840.205,1880.059,1880.46,1929.142,1953.941,1975.516,2020.221,2014.997,2448.163,2802.417,2813.669,2888.555,2783.326,2825.01,2834.941,2934.955,2978.258,3007.86,3041.989,3080.224,3131.86,3290.155,..,2018-04-07 11:40:33.896072
Australia,Oil products,of which: Residential (ktoe),01. Australia,03. Oil products,12.1. of which: Residential (ktoe),771.561,782.832,787.955,1007.208,1138.378,1116.301,1210.698,1105.854,1072.277,783.985,586.293,541.817,473.223,441.036,442.097,403.769,404.923,373.624,365.097,378.196,373.553,383.111,406.563,372.077,365.943,359.394,361.816,353.081,336.028,349.663,339.761,339.209,360.153,325.896,293.458,263.062,317.749,285.97,375.079,365.964,385.454,377.601,385.698,379.88,369.382,..,2018-04-07 11:40:33.896072
Australia,Oil products,of which: Commerce and public services (ktoe),01. Australia,03. Oil products,12.2. of which: Commerce and public services (ktoe),122.098,117.011,111.923,673.968,658.054,631.069,602.042,559.308,530.166,506.735,427.128,369.153,298.173,252.221,238.034,240.255,231.95,242.218,249.42,256.384,257.237,282.266,294.92,284.458,287.102,291.903,289.331,296.167,303.131,312.833,312.425,475.172,452.744,494.741,493.071,568.243,584.53,602.945,621.51,624.441,625.459,638.686,642.226,722.16,790.757,..,2018-04-07 11:40:33.896072
Australia,Natural gas,Production (ktoe),01. Australia,04. Natural gas,01. Production (ktoe),1792.373,2582.174,3380.613,3871.424,4190.185,4479.913,5647.787,6115.194,6945.289,7464.895,8729.947,9628.057,10067.506,10531.669,11236.089,12272.767,12656.063,13119.151,13490.777,17134.837,17820.711,19397.11,20863.867,22481.398,24991.624,25649.003,25546.152,26553.173,27495.423,28532.123,29109.129,30331.502,29602.926,29783.636,31345.615,36063.014,38259.55,39862.532,41779.826,44467.087,47631.382,45620.326,52129.797,52904.641,56362.683,73947.821,2018-04-07 11:40:33.896072
Australia,Natural gas,Imports (ktoe),01. Australia,04. Natural gas,02. Imports (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.067,19.212,0.0,1113.612,4989.634,4713.402,5555.015,4850.895,5609.836,4995.329,5601.798,5963.883,5135.852,5793.446,2018-04-07 11:40:33.896072
Australia,Natural gas,Exports (ktoe),01. Australia,04. Natural gas,03. Exports (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2348.857,-3975.65,-5058.746,-5944.263,-6892.638,-8253.149,-8846.358,-8623.937,-8943.085,-9141.115,-9262.77,-8803.099,-8884.417,-9149.539,-9251.746,-12378.992,-14062.841,-16755.237,-15990.602,-18015.003,-20886.303,-23330.769,-22055.402,-27476.319,-27175.867,-29281.823,-41323.057,2018-04-07 11:40:33.896072
Australia,Natural gas,Total primary energy supply (ktoe),01. Australia,04. Natural gas,04. Total primary energy supply (ktoe),1792.373,2582.174,3380.613,3871.424,4190.185,4479.913,5647.787,6115.194,6945.289,7464.895,8729.947,9628.057,10067.506,10531.669,11236.089,12272.767,12656.063,13119.151,13490.777,14785.98,13845.061,14338.364,14919.604,15588.76,16738.475,16802.644,16922.215,17610.088,18354.308,19269.352,20306.03,21447.084,20509.454,20551.102,18966.623,23113.784,26493.947,28585.332,29319.839,28431.678,29910.448,28560.253,30255.277,31692.657,32216.712,35753.837,2018-04-07 11:40:33.896072
